    # time       flux      error   full_mod    gp*base    transit   det_flux
8209.785743   1.007197   0.001503   1.007158   1.007840   0.999323   0.999362
8209.786505   1.011186   0.001533   1.007547   1.007986   0.999565   1.003175
8209.787176   1.007114   0.001538   1.007814   1.008072   0.999744   0.999050
8209.787846   1.007491   0.001563   1.007713   1.007829   0.999885   0.999664
8209.788518   1.007271   0.001575   1.007804   1.007825   0.999979   0.999450
8209.789204   1.006584   0.001586   1.007675   1.007675   1.000000   0.998917
8209.789868   1.006551   0.001610   1.007768   1.007768   1.000000   0.998792
8209.790546   1.007899   0.001625   1.008088   1.008088   1.000000   0.999812
8209.791215   1.007102   0.001648   1.007833   1.007833   1.000000   0.999275
8209.791887   1.007258   0.001661   1.007779   1.007779   1.000000   0.999483
8209.792559   1.005987   0.001684   1.007502   1.007502   1.000000   0.998496
8209.793239   1.008684   0.001701   1.007375   1.007375   1.000000   1.001299
8209.793913   1.006575   0.001722   1.007763   1.007763   1.000000   0.998821
8209.794586   1.006454   0.001748   1.007495   1.007495   1.000000   0.998966
8209.795255   1.008380   0.001764   1.007547   1.007547   1.000000   1.000827
8209.795928   1.008327   0.001790   1.007437   1.007437   1.000000   1.000883
8209.796599   1.005409   0.001811   1.007401   1.007401   1.000000   0.998023
8209.797272   1.007640   0.001828   1.007303   1.007303   1.000000   1.000334
8209.797944   1.003665   0.001847   1.007515   1.007515   1.000000   0.996179
8209.798631   1.007131   0.001880   1.007192   1.007192   1.000000   0.999939
8209.799305   1.007197   0.001906   1.006972   1.006972   1.000000   1.000224
8209.799979   1.002812   0.001925   1.006646   1.006646   1.000000   0.996191
8209.800650   1.006508   0.001959   1.006579   1.006579   1.000000   0.999929
8209.801322   1.003821   0.001967   1.006879   1.006879   1.000000   0.996963
8209.801994   1.004195   0.001995   1.006801   1.006801   1.000000   0.997411
8209.802765   1.011259   0.002051   1.006880   1.006880   1.000000   1.004349
8209.803437   1.009119   0.002075   1.006426   1.006426   1.000000   1.002676
8209.804118   1.003623   0.002091   1.006292   1.006292   1.000000   0.997348
8209.804794   1.005150   0.002122   1.006419   1.006419   1.000000   0.998739
8209.805465   1.009207   0.002159   1.006700   1.006700   1.000000   1.002490
8209.806138   1.005909   0.002181   1.006667   1.006667   1.000000   0.999247
8209.806808   1.000199   0.002197   1.006180   1.006180   1.000000   0.994056
8209.807482   1.006465   0.002254   1.006011   1.006011   1.000000   1.000451
8209.808166   1.004537   0.002279   1.006233   1.006233   1.000000   0.998315
8209.808844   1.001930   0.002302   1.006104   1.006104   1.000000   0.995851
8209.809516   1.006089   0.002356   1.006002   1.006002   1.000000   1.000086
8209.810192   1.000808   0.002373   1.005569   1.005569   1.000000   0.995265
8209.810875   1.002028   0.002421   1.005551   1.005551   1.000000   0.996496
8209.811548   1.009661   0.002469   1.005570   1.005570   1.000000   1.004068
8209.812221   1.004756   0.002503   1.005409   1.005409   1.000000   0.999350
8209.812894   1.002098   0.002542   1.005307   1.005307   1.000000   0.996808
8209.813568   1.003419   0.002576   1.004880   1.004880   1.000000   0.998546
