#time			flux		fluxerr		x			y		roll		contam			bg			smear
2256.35140137 0.99917176 0.00032574 -0.38090338 -0.17786993 141.87056703 -0.05849123 0.00001981 0.00104940
2256.35209616 0.99963097 0.00032581 0.30051687 -0.34733677 138.38233132 -0.18461666 0.00001846 0.00142971
2256.35279096 0.99922088 0.00032574 0.25389231 0.04466944 134.86590399 -0.12943531 0.00001769 0.00131250
2256.35348575 0.99998198 0.00032587 0.73363980 -0.22039942 131.31869768 -0.19229840 0.00001751 0.00141771
2256.35418053 0.99953595 0.00032580 0.35787594 0.55818896 127.73841718 -0.26231155 0.00001673 0.00170836
2256.35487533 0.99931237 0.00032576 -0.01763059 0.18089283 124.12412117 -0.01665271 0.00001643 0.00081861
2256.35557012 1.00003006 0.00032588 0.05834674 0.19497752 120.47570301 -0.01455607 0.00001603 0.00081234
2256.35695971 1.00039649 0.00032594 0.32825386 -0.31029696 113.07582224 -0.17888174 0.00001576 0.00146969
2256.35765450 1.00012784 0.00032589 0.70920705 0.11417807 109.32408896 -0.03724810 0.00001591 0.00095157
2256.35834930 1.00069330 0.00032598 0.74244383 0.12098007 105.53924199 -0.06490046 0.00001600 0.00098584
