#time			flux		fluxerr		x			y		roll		contam			deltaT			smear
2264.66809014 1.00027001 0.00032593 0.40079183 -0.00523665 111.13953872 -0.13049832 -0.20050049 0.00139723
2264.66878492 1.00029252 0.00032593 0.76967664 -0.04323487 107.46953153 -0.02142616 -0.21023560 0.00107243
2264.66947971 0.99991388 0.00032587 0.57229041 0.25862277 103.78583846 -0.19474814 -0.19079590 0.00162440
2264.67017449 0.99964078 0.00032583 0.34454367 0.41357327 100.08877691 -0.22691478 -0.22967529 0.00168223
2264.67086928 1.00027599 0.00032593 0.44113107 0.38062777 96.37887509 -0.21037046 -0.21023560 0.00159036
2264.67156405 1.00063121 0.00032599 0.69122257 0.64496593 92.65746987 -0.20093834 -0.14202881 0.00172793
2264.67225883 1.00049734 0.00032597 0.64717959 0.45182609 88.92589058 -0.24845242 -0.21997070 0.00189791
2264.67295362 0.99992638 0.00032587 0.09671405 -0.12159207 85.18565381 -0.10412676 -0.22967529 0.00141823
2264.67364840 0.99959318 0.00032582 -0.24332791 0.17678498 81.43820820 -0.12613913 -0.21023560 0.00143896
2264.67434319 0.99964590 0.00032583 0.30182134 -0.08382970 77.68503555 -0.17970439 -0.21997070 0.00163807
2264.67503797 0.99994692 0.00032588 -0.20758211 -0.06020129 73.92787944 -0.02135486 -0.22967529 0.00114193
2264.67573276 1.00023680 0.00032592 0.00312595 -0.05781732 70.16865277 -0.09896315 -0.22967529 0.00141657
2264.67642754 0.99989964 0.00032587 -0.52286592 0.36073758 66.40926248 -0.12145331 -0.19079590 0.00146222
2264.67712232 0.99981323 0.00032585 -0.39986104 0.41125446 62.65168639 -0.11190843 -0.18106079 0.00133892
2264.67781710 1.00034020 0.00032594 -0.03777653 0.62775038 58.89770152 -0.26141260 -0.21023560 0.00189921
2264.67851189 0.99939906 0.00032579 -0.58731519 0.06407492 55.14908244 -0.08985741 -0.22967529 0.00130940
2264.67920667 0.99981278 0.00032585 -0.83273022 0.00073603 51.40724870 -0.06113534 -0.20050049 0.00136697
2264.67990146 1.00007674 0.00032590 -0.34269549 0.46392981 47.67360584 -0.09091746 -0.22967529 0.00129812
2264.68059624 1.00003132 0.00032589 -0.67281363 0.42455392 43.94955148 -0.07484534 -0.24908447 0.00123611
2264.68129102 0.99985317 0.00032586 -0.58321733 0.72917436 40.23649101 -0.24276520 -0.22967529 0.00189366
2264.68198580 0.99972516 0.00032584 -0.20497637 0.33273928 36.53567617 0.02441548 -0.20050049 0.00097687
2264.68268058 0.99968729 0.00032583 0.36711213 -0.01498309 32.84742467 -0.11289125 -0.23941040 0.00150769
2264.68337537 0.99976743 0.00032585 -0.20430267 0.27799432 29.17206999 -0.08225046 -0.24908447 0.00131071
2264.68407015 1.00032942 0.00032594 -0.56903998 0.47447671 25.50987800 -0.19291012 -0.22967529 0.00174305
2264.68476494 1.00053911 0.00032597 -0.06743107 0.40627763 21.86112188 -0.25416930 -0.24908447 0.00182931
2264.68545972 1.00082648 0.00032602 0.05308478 -0.02066170 18.22600301 0.03539373 -0.22967529 0.00097063
2264.68615451 0.99977270 0.00032585 -0.14572419 0.15393351 14.60406938 -0.08145502 -0.20053101 0.00129418
2264.68684928 1.00011408 0.00032590 -0.86348211 -0.05253820 10.99453497 -0.04536617 -0.21997070 0.00131457
2264.68754406 1.00089070 0.00032603 -0.61137316 -0.02289093 7.39643453 0.01684227 -0.22967529 0.00103796
2264.68823885 1.00010300 0.00032590 -0.57102877 0.26326669 3.80897736 -0.03487355 -0.21023560 0.00108144
2264.68893363 1.00003471 0.00032589 -0.37707988 0.37491395 0.23131372 -0.14811160 -0.21997070 0.00149729
2264.68962842 1.00071528 0.00032600 0.12649591 0.40162699 356.66232630 -0.32882926 -0.22967529 0.00214551
2264.69032320 1.00079976 0.00032602 0.19595861 0.28799688 353.10054034 -0.19395535 -0.23941040 0.00172740
2264.69101799 1.00056431 0.00032598 0.05852270 -0.45424447 349.54444660 -0.08192043 -0.22967529 0.00140221
2264.69171277 1.00021188 0.00032592 0.06237863 -0.53976044 345.99254331 -0.10845826 -0.23941040 0.00144692
2264.69240755 0.99983407 0.00032586 0.07651256 -0.51312385 342.44338069 -0.10855446 -0.22967529 0.00148842
2264.69310233 1.00019702 0.00032592 0.13990784 -0.48236530 338.89532761 -0.08711112 -0.21023560 0.00140498
2264.69379712 0.99974117 0.00032584 0.23147465 -0.18987331 335.34690192 -0.17856351 -0.21997070 0.00169977
2264.69449190 1.00051885 0.00032597 0.14769942 0.07526698 331.79655007 -0.00505537 -0.22967529 0.00101420
2264.69518668 0.99944451 0.00032579 0.20010604 0.01205381 328.24272550 -0.08717005 -0.22967529 0.00130328
2264.69588147 1.00058970 0.00032598 0.03621189 -0.11463721 324.68387465 -0.03473642 -0.26846313 0.00122390
2264.69657625 1.00021176 0.00032592 0.38657852 0.00167612 321.11848438 -0.14348750 -0.23941040 0.00149750
2264.69727103 0.99922978 0.00032576 -0.11056889 -0.17260095 317.54542605 -0.10168566 -0.26846313 0.00149608
2264.69796581 1.00030229 0.00032593 -0.21463330 0.12692113 313.96358952 -0.03930134 -0.25878906 0.00120455
2264.69866060 1.00032009 0.00032594 -0.48568266 -0.28259055 310.37203900 -0.07053470 -0.23941040 0.00149640
2264.69935538 1.00025690 0.00032593 -0.84513063 -0.18941602 306.76978619 -0.00192108 -0.26849365 0.00135044
2264.70005017 1.00010585 0.00032590 -0.66715439 -0.39188702 303.15584498 -0.15395238 -0.22967529 0.00174339
2264.70074495 0.99979798 0.00032585 -0.34812196 -0.43650757 299.52964895 -0.12341232 -0.23941040 0.00162661
2264.70143974 0.99974922 0.00032584 -0.48709292 -0.66890623 295.89119086 -0.01096554 -0.24908447 0.00128369
2264.70213452 0.99935024 0.00032578 -0.35746245 -0.70774850 292.24051196 -0.01945209 -0.23941040 0.00124393
2264.70282929 0.99909628 0.00032574 -0.39409570 -0.85329670 288.57770744 -0.01944529 -0.21997070 0.00124909
2264.70352408 1.00014266 0.00032591 0.02973858 -0.56029079 284.90269392 -0.03513773 -0.28784180 0.00139121
2264.70421886 0.99980047 0.00032585 0.48393283 -0.33850848 281.21578815 -0.20337587 -0.23941040 0.00180274
2264.70491365 0.99963643 0.00032583 0.58509491 -0.56423277 277.51798798 -0.03421335 -0.23941040 0.00132116
2264.70560843 1.00018397 0.00032592 0.30668980 -0.36481022 273.81046077 -0.20454684 -0.23941040 0.00190987
